,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
1, – D)Harilal.J.Kania,K.C.Niyogi,Sukumar Sen,T.S.Thakur,Harilal.J.Kania,None of these,Who among the following was the first Chief justice of India ?," :Sir Harilal Jekisundas Kania was the first Chief Justice of India, dying in office in 1951 .",23.1
2, – A)Dr.Rajendra Prasad,Dr.Rajendra Prasad,Meira Kumar,Jawaharlal Nehru,Dr.Ambedkar,None of these,The first President of India was ……………………., :Rajendra Prasad was the first President of the Republic of India. Succeeded by Sarvepalli Radhakrishnan,23.1
3, – B)Indira Gandhi,Prathiba Patil,Indira Gandhi,Sarojini Naidu,Kiren Bedi,None of these,Who among the following was the first female Prime minister of India?, :Indira Priyadarshini Gandhi was the first female Prime Minister of India and central figure of the Indian National Congress party,23.1
4, – B)K.C.Niyogi,Rajendra Sinhji,K.C.Niyogi,Nithish Kumar,Y.C.Chavan,None of these,The first chairman of Finance Commission of  India was …………………..," :Kshitish Chandra Neogy also known as KC Neogy, was an Indian politician from West Bengal. He was a member of the Constituent Assembly of India, member of the first cabinet of independent India and the chairman of the first Finance Commission of India.",23.1
5, – A)M.S.Fatima Bibi,M.S.Fatima Bibi,Kiren Bedi,Sarojini Naidu,Lakshmi,None of these,……………………………. was the first female judge in Supreme Court of India," :Justice Fathima Beevi was the first female judge of the Supreme Court of India whose tenure lasted from October 6 1989 to April 29, 1992 . The second was Justice Sujata V Manohar.",23.1
6, – A)Dr.S.Radhakrishnan,Dr.S.Radhakrishnan,Sardar Vallabhbahi patel,Dr.Rajendra Prasad,Jawahar Lal Nehru,None of these,Who was elected as the first Vice-President of India ?, :Sarvepalli Radhakrishnan was the first Vice President of India and the second President of India from 1962 to 1967,23.1
7, – C)Sukumar Sen,Meira Kumar,Najib Sha,Sukumar Sen,Suresh Prabu,None of these,………………. is the first chief election commissioner of our country," :Sukumar Sen  was an Indian civil servant who was the first Chief Election Commissioner of India, serving from 21 March 1950 to 19 December 1958.",23.1
8, – A)Sucheta Kripalani,Sucheta Kripalani,Kalpana,Jayalaitha,Anathi ban patael,Jayalaitha,The first female chief minister of India was …………………….," :Sucheta Kriplani was an Indian freedom fighter and politician. She was India’s first woman Chief Minister, serving as the head of the Uttar Pradesh government from 1963 to 1967.",23.1
9, – B)Jawahar Lal Nehru,Dr.Radhakrishnan,Jawahar Lal Nehru,Lord Monubatten,Dr.Ambedkar,None of these,Who was elected as the first Prime minister of India ?," :Jawaharlal Nehru was the first Prime Minister of India and a central figure in Indian politics before and after independence.Born in November 14, 1889.Nov 14 is celebrated as Childrens day.",23.1
10, – B)Devatal lake,Chilka lake,Devatal lake,Wular lake,Dal lake,None of these,Which of the following is the highest lake in India  ?, :The highest lake in India is Devatal located at a height of 17745ft in Garhwal Himalayas,23.1
11, – C)Kolkata,Hyderabad,Mumbai,Kolkata,New Delhi,None of these,The Largest Museum India Museum is located in …………………………," :Indian Museum in Kolkata is the largest museum in India. It is the ninth oldest regular museum of the world and oldest institution of its kind in Asia Pacific region. Indian Museum is a multipurpose and multi disciplinary institution of national importance. The museum was established at the Asiatic Society, the earliest learned body in the country on 2nd February 1814 . Dr. Nathaniel Wallich, a Danish botanist, was the founder curator of the museum.",23.1
12, – A)Indira Gandhi Canal,Indira Gandhi Canal,Sarda Canal,KalakumskyCanal,Rajiv Gandhi Canal,None of these,India’s Largest Canal ………………………….  is located in Rajasthan," :The Indira Gandhi Canal is one of the largest canal projects in India. It starts from the Harike Barrage at Firozpur, a few kilometers below the confluence of the Satluj and Beas rivers in the Indian state of Punjab and terminates in irrigation facilities in the Thar Desert in the north west of Rajasthan state.",23.1
13, – D)Kancgchenjunga,Rimo,Kamet,Nanda Devi,Kancgchenjunga,None of these,Which of the following is the highest peak in India ?, :Kangchenjunga is the highest mountain peak.K2 lies in Pakistan near the Pakistan-China border. The Kanchenjunga lies partly in Sikkim and partly in Nepal.,23.1
14, – A)Patna,Patna,Mumbai,Kochin,New Delhi,None of these,Mahatma Gandhi Setu is the longest river bridge in India.It was located in ……………., :Mahatma Gandhi Setu is a bridge over the river Ganges connecting Patna in the south to Hajipur in the north of Bihar. Its length is 5 .8km and it is one of the longest river bridges in India,23.1
15, – C)Alipur Zoological Garden,Nehru Zoological Park,Delhi National Zoological Park,Alipur Zoological Garden,Indira Gandhi Zoological Park,None of these,……………………………. is the Largest Zoo in India," :The Alipore Zoological Garden is India’s oldest formally stated zoological and a big tourist attraction in Kolkata, West Bengal. It has been open as a zoo since 1876, and covers 18.81 ha (46.5 acres).",23.1
16, – C)Sikkim,Uttarakhand,Maharashtra,Sikkim,Kerala,None of these,Which of the following state has the lowest population ?," :Sikkim – 48.90% of the country’s population lives in five States, namely, Uttar Pradesh, Maharashtra,Bihar, West Bengal and Andhra Pradesh. Ten most populated states of India contributes 76.56% of India’s population.",23.1
17, – A)Rajasthan,Rajasthan,Haryana,Maharashtra,Odisha,New Delhi,…………………..  is the largest state in terms of Area," :Rajasthan -342,240km Rajasthan is India’s largest state by area(342,239 square kilometres (132,139 sq mi) or 10.4% of India’s total areA). It is located on the western side of the country, where it comprises most of the wide and inhospitable Thar Desert (also known as the “Rajasthan Desert” and “Great Indian Desert”) and shares a border with the Pakistani provinces of Punjab to the northwest and Sindh to the west, along the Sutlej-Indus river valley.",23.1
18, – C)Grand Trunk Road,Munnar Road,Neral-Matheran Road,Grand Trunk Road,Road at Khardungla,None of these,……………………………… is the longest road in India," :The Grand Trunk Road is one of Asia’s oldest and longest major roads. For more than two millennia, it has linked the eastern and western regions of the Indian subcontinent, connecting South Asia with Central Asia. It runs from Chittagong, Bangladesh west to Howrah, West Bengal in India, running across Northern India into Lahore in Pakistan, further up to Kabul in Afghanistan.It was built by Sher Shah Suri",23.1
19, – B)Statue of Gomateshwar,Statue of Mahatma Gandhi,Statue of Gomateshwar,Lord Basava Statue,Hanuman Statue,None of these,Which of the following is the tallest statue in India ?," :The proposed height of India’s tallest Hanuman statue is 176 feet and is expected to be completed by the year 2015 . Most statues of Hindu gods like Hanuman and Shiva, and a few Buddhist statues in India are as high as 100 feet",23.1
20, – D)SBI,Canara Bank,BOI,RBI,SBI,None of these,Which of the bank in India with largest number of branches ?," :State Bank of India (SBI), the country’s largest lender, has the highest number of branches running from rented facilities among public sector banks – 16,333 branches.",23.1
21, – C)Ramanathaswamy Corridor,Ravishankar Corridor,Royal Corridor,Ramanathaswamy Corridor,Rangaswamy Corridor,None of these,………………………. is the longest corridor in India," :Ramanathaswamy corridor(1220 mt) is a Hindu temple dedicated to god Shiva located on Rameswaram island in the state of Tamil Nadu, India. It is also one of the twelve Jyothirlinga temples, where Shiva is worshipped in the form of a Jyotirlingam (English: pillar of light)",23.1
22, – B)Govind Sagar,Kaylana Lake,Govind Sagar,Ana Sagar,Ramgarh Lake,None of these,Which of the following is the largest man made lake in India?," :Govind Vallabh Pant Sagar is a man made lake situated in southern region of Sonebhadra named after Bharat Ratna Pandit Govind Ballabh Pant Chief minister of United Provinces present day Uttar Pradesh (September 10, 1887 – March 7, 1961) was a statesman of India.",23.1
23, – A)Jama Masjid,Jama Masjid,Haji Ali Dargah,Tipu Sultan Mosque,Malik Dinar Mosque,None of these,……………………… is the biggest Mosque in India," :Jama Masjid in New Delhi, overlooking Chandni Chowk and the Red Fort, is the largest mosque in India. The mosque was built by Mughal emperor Shahjahan in 1656. It has typical Mughal architecture with three gateways, four towers and two minarets. The Jama Masjid is made up of red sandstone and white marble. It contain 260 pillars.",23.1
24, – D)Fateh Burj,Chand Minar,Shaheed Minar,Qutub Minar,Fateh Burj,None of these,Which of the following is the highest tower in India?," :The Fateh Burj is the tallest minar in India situated in the historical village of Chappar Chiri in the SAS Nagar district, Punjab.The 328 ft tower is dedicated to establishment of the Sikh Misls in a large part of India in 1711",23.1
