sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,Unnamed: 18,Unnamed: 19
157,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (55).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (55).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
158,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (56).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (56).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
159,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (57).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (57).png,Maths_IIT,14.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
160,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (58).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (58).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
161,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (59).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (59).png,Maths_IIT,14.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
162,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (60).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (60).png,Maths_IIT,14.1,4,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
163,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (61).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (61).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
164,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (62).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (62).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
165,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (63).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (63).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
166,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (64).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (64).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
1,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (01).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
2,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (02).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
3,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (03).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
4,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (04).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
5,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (05).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
6,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (06).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
8,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (08).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
9,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (09).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
10,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (10).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
11,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (11).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
12,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (12).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
13,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (13).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
14,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (14).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
15,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (15).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
16,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (16).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
17,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (17).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
18,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (18).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
19,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (19).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
20,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (20).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
21,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (21).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
22,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (22).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (22).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
23,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (23).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
24,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (24).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
25,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (25).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
26,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (26).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
27,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (27).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
28,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (28).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
29,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (29).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
30,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (30).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (30).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
31,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (31).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (31).png,Maths_IIT,15.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
32,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (32).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (32).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
33,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (33).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (33).png,Maths_IIT,15.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
34,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (34).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (34).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
35,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (35).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (35).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
36,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (36).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (36).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
37,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (37).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (37).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
38,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (38).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (38).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
39,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (39).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (39).png,Maths_IIT,15.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
40,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (40).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (40).png,Maths_IIT,15.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
41,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (41).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (41).png,Maths_IIT,15.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
42,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (42).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (42).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
43,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (43).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (43).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
44,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (44).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (44).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
45,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (45).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (45).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
46,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (46).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (46).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
47,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (47).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (47).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
48,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (48).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (48).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
49,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (49).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (49).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
50,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (50).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (50).png,Maths_IIT,15.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
51,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (51).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (51).png,Maths_IIT,15.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
52,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (52).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (52).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
53,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (53).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (53).png,Maths_IIT,15.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
54,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (54).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (54).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
55,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (55).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (55).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
56,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (56).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (56).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
57,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (57).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (57).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
58,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (58).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (58).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
59,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (59).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (59).png,Maths_IIT,15.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
60,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (60).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (60).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
61,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (61).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (61).png,Maths_IIT,15.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
62,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (62).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (62).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
63,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (63).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (63).png,Maths_IIT,15.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
64,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (64).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (64).png,Maths_IIT,15.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
65,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (65).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (65).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
66,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (66).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (66).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
67,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (67).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (67).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
68,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (68).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (68).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
69,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (69).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (69).png,Maths_IIT,15.1,8,D,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
70,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (70).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (70).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
71,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (71).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (71).png,Maths_IIT,15.1,8,D,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
72,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (72).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (72).png,Maths_IIT,15.1,8,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
73,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (73).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (73).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
74,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (74).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (74).png,Maths_IIT,15.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
75,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (75).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (75).png,Maths_IIT,15.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
76,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (76).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (76).png,Maths_IIT,15.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
77,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (77).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (77).png,Maths_IIT,15.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
78,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (78).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (78).png,Maths_IIT,15.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
79,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (79).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (79).png,Maths_IIT,15.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
80,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (80).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (80).png,Maths_IIT,15.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
81,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (81).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (81).png,Maths_IIT,15.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
82,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (82).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (82).png,Maths_IIT,15.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
83,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (83).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (83).png,Maths_IIT,15.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
84,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 que/1 (84).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 15 sol/1 (84).png,Maths_IIT,15.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Ellipse,,
